Date	Rep	Region	Order Status	Product	Cost	Units	Total
01-01-2019	Ramdin Verma	East	Shipped	Pencil	3	36	108
01-02-2019	Sharat Chandran	East	Shipped	Pencil	3	95	285
01-03-2019	Birender Mandal	West	Shipped	Binder	5	50	250
01-04-2019	Kamal	East	Shipped	Binder	5	60	300
01-05-2019	Vikram Singh	West	Shipped	Binder	5	27	135
01-06-2019	Ram Dutt Gupta	West	Shipped	Pencil	3	56	168
01-07-2019	Khadak Singh	North	Shipped	Pencil	3	90	270
01-08-2019	Gurmit Singh	East	Shipped	Pencil	3	75	225
01-09-2019	Nahar Singh	East	Canceled	Pencil	3	32	96
01-10-2019	Ram Kumar	North	Shipped	Pen	2	74	148
01-11-2019	Sunder Paal	East	Canceled	Binder	5	60	300
01-12-2019	Maansingh Aswal	West	Shipped	Desk	275	2	550
13-01-2019	Punit Khandelwal	North	Pending	Pencil	3	90	270
14-01-2019	Arvind Kumar Yadav	East	Pending	Binder	5	29	145
15-01-2019	Najim	East	Pending	Desk	275	1	275
16-01-2019	Ram	East	Canceled	Pencil	3	20	60
17-01-2019	Shiv Shakti Singh	East	Backorder	Pencil	3	35	105
18-01-2019	Moti Lal	West	Backorder	Binder	5	81	405
19-01-2019	Kausal Kumar	Central	Shipped	Desk	275	2	550
20-01-2019	Shahbaz	East	Backorder	Desk	275	3	825
11-01-2020	Raj Kumar	West	Canceled	Pen	2	56	112
11-02-2020	Jaswant Singh	Central	Shipped	Binder	5	28	140
11-03-2020	Kali	East	Backorder	Pencil	3	12	36
11-04-2020	Ram Singh	East	Shipped	Pen Set	5	16	80
11-05-2020	Preetam Kumar	East	Shipped	Pen Set	5	48	240
11-06-2020	Raja	East	Pending	Pen	2	64	128
11-07-2020	Pankaj Kumar	East	Pending	Pen	2	15	30
11-08-2020	Sam	East	Pending	Binder	5	71	355
11-09-2020	Riyasat Ali	West	Shipped	Pen Set	5	96	480
11-10-2020	Rani	West	Shipped	Desk	275	2	550
11-11-2020	Kali Charan	East	Canceled	Pencil	3	67	201
11-12-2020	Badshya Khan	East	Shipped	Pen Set	5	74	370
13-11-2020	Devinder Chadda	West	Shipped	Desk	275	5	1375
14-11-2020	Mohan Singh	East	Backorder	Binder	5	46	230
15-11-2020	Yash Mittal	East	Pending	Pen Set	5	99	495
16-11-2020	Mala	East	Shipped	Pen	2	41	82
17-11-2020	Ram Dutt Gupta	East	Canceled	Desk	275	1	275
18-11-2020	Raj Kumar	East	Shipped	Binder	5	87	435
19-11-2020	Shiv Shakti Singh	East	Pending	Pen Set	5	62	310
20-11-2020	Paul	East	Shipped	Binder	5	4	20
21-11-2020	Pooran Chand Sharma	East	Shipped	Binder	5	7	35
22-11-2020	Surender Singh Chauhan	East	Canceled	Binder	5	86	430
23-11-2020	Jahoor Ahmed Meer	East	Shipped	Pen Set	5	50	250
24-11-2020	Ravi	East	Backorder	Pen Set	5	75	375
25-11-2020	John	East	Pending	Pencil	3	66	198
26-11-2020	B Vikjay Kumar	East	Pending	Pencil	3	53	159
27-11-2020	Veer Bhan Singh	East	Shipped	Binder	5	80	400
28-11-2020	Guman Singh Basyal	East	Shipped	Pen	2	96	192
29-11-2020	Shiv Prasad Singh	East	Backorder	Pen Set	5	62	310
30-11-2020	Mohd Miraj Ansari	East	Pending	Pen Set	5	68	340
12-01-2020	Harbir  Singh	East	Backorder	Desk	275	2	550
12-02-2020	Charan Jeet Singh	East	Pending	Pen Set	5	55	275
12-03-2020	Om Parkash Ahuja	East	Shipped	Pencil	3	16	48
12-04-2020	Kumar Sanu	East	Pending	Pencil	3	68	204
12-05-2020	Munna Lal Jain	East	Backorder	Desk	275	5	1375
11-01-2020	Jai Prakash Kashyap	East	Shipped	Desk	275	2	550
11-02-2020	Jai Prakash Kashyap	East	Shipped	Pen Set	5	42	210
11-03-2020	Sarvesh Kumar Pandey	East	Shipped	Pencil	3	7	21
11-04-2020	Sohnal Kumar Singh	East	Backorder	Binder	5	70	350
11-05-2020	Manish Kumar Saket	East	Pending	Desk	275	4	1100
11-06-2020	Amit Kumar Shukla	East	Backorder	Pencil	3	42	126
11-07-2020	Puran Singh Rastogi	East	Shipped	Pen Set	5	29	145
11-08-2020	Lal Babu Prasad	East	Shipped	Pen	2	76	152
11-09-2020	Narayan Parsad Bhushal	East	Shipped	Pen	2	77	154
11-10-2020	Mahesh Chand Tiwari	East	Shipped	Pencil	3	36	108
11-11-2020	Tara Singh Rawat	East	Shipped	Pencil	3	95	285
11-12-2020	Tara Singh Rawat	West	Shipped	Binder	5	50	250
13-11-2020	Prem Singh Bidla	East	Shipped	Binder	5	60	300
14-11-2020	Subham Kumar Yadav	East	Shipped	Binder	5	27	135
15-11-2020	Ritu Raj Kumar	East	Shipped	Pencil	3	56	168
16-11-2020	Nootan Prakash Yadav	East	Shipped	Pencil	3	90	270
17-11-2020	Sone Lal Shah	East	Shipped	Pencil	3	75	225
18-11-2020	Mukesh Kumar Yogi	East	Canceled	Pencil	3	32	96
19-11-2020	Ravi Chandra Natarajan	East	Shipped	Pen	2	74	148
20-11-2020	Maj- Koko Khaing	East	Canceled	Binder	5	60	300
21-11-2020	Dinesh Singh Rana	East	Shipped	Desk	275	2	550
22-11-2020	Prateek Kumar Tiwari	East	Pending	Pencil	3	90	270
